"","X","AllScores","AllAiScores","filename","kaiscore","AiRanges","aiRange","kaiscore_numeric","mean_score","sd_score","max_score","mean_kaiscore"
"1",0,56050.6020945219,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"2",1,53977.1193814971,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"3",2,56305.5891567436,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"4",3,51049.8991644708,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"5",4,52466.3355979122,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"6",5,52841.8124757922,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"7",6,55832.0402988947,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"8",7,53320.8416543583,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"9",8,54171.3754706758,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"10",9,53404.4497332948,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"11",10,55983.2615121715,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"12",11,51337.44156519,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"13",12,55046.5218677946,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"14",13,54560.2842282326,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"15",14,56665.2249060747,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"16",15,55433.5933340057,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107
"17",16,53893.9132645952,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107
"18",17,54395.4123726104,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107
"19",18,54555.4053694653,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107
"20",19,52677.0986925601,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107
