,AllScores,AllAiScores,AllScores_flat
0,"[-14.157408373137704, -13.800001305062565, -15.548692484916725, -15.830162558133217, -16.065170737371183, -15.197348008516665, -15.68408764127727, -14.135878656555438, -16.045911079968334, -13.546903751511607, -15.7090325215464, -15.66257047400795, -13.730707689290135, -16.036244820695636, -16.031785535952007, -14.815119599708876]",0,-14.157408373137704
1,"[-16.667456895315354, -16.128010557289244, -14.314042810634106, -14.869193127313551, -15.747104189220874, -16.799596809367266, -16.13407600104303, -15.478043624535047, -16.02222736710976, -15.997544644712454, -15.967819082328578, -15.301232821623483, -15.944210419145422, -15.130533103927416, -14.186328806822889, -15.77262905820379]",0,-13.800001305062565
2,"[-14.608515037123812, -14.383283064056494, -15.970923115453465, -15.950136856849994, -15.105494934690416, -15.038829278094202, -15.687485416470356, -16.35890326609616, -19.366980028516743, -14.99108015305018, -16.250562037340757, -16.02200331668798, -15.089186166243444, -16.020816654064134, -14.125789256083214, -16.62211492918668]",0,-15.548692484916725
3,"[-15.630979648744077, -16.568999870691623, -16.027719422738347, -15.316902642298786, -15.669417302372562, -15.710886602245814, -15.317014326098764, -16.278417436512015, -15.447854346996653, -15.421728725249707, -15.328871298359301, -15.858587382482405, -15.52428290926586, -15.980443326553559, -15.680805743250653, -16.41221577994118]",0,-15.830162558133217
4,"[-15.865098520228685, -15.880032498729783, -15.702061697641014, -16.065479669792254, -16.40595901477195, -15.634688376109326, -16.123708686284594, -15.981618371963489, -14.475122779616452, -16.19159759551182, -16.09183249484328, -15.25518499213068, -15.383123699606694, -15.514515682892068, -15.709599703637073, -16.267116119847113]",0,-16.065170737371183
5,,0,-15.197348008516665
6,,0,-15.68408764127727
7,,0,-14.135878656555438
8,,0,-16.045911079968334
9,,0,-13.546903751511607
10,,0,-15.7090325215464
11,,0,-15.66257047400795
12,,0,-13.730707689290135
13,,0,-16.036244820695636
14,,0,-16.031785535952007
15,,0,-14.815119599708876
16,,20,-16.667456895315354
17,,20,-16.128010557289244
18,,20,-14.314042810634106
19,,20,-14.869193127313551
20,,20,-15.747104189220874
21,,20,-16.799596809367266
22,,20,-16.13407600104303
23,,20,-15.478043624535047
24,,20,-16.02222736710976
25,,20,-15.997544644712454
26,,20,-15.967819082328578
27,,20,-15.301232821623483
28,,20,-15.944210419145422
29,,20,-15.130533103927416
30,,20,-14.186328806822889
31,,20,-15.77262905820379
32,,40,-14.608515037123812
33,,40,-14.383283064056494
34,,40,-15.970923115453465
35,,40,-15.950136856849994
36,,40,-15.105494934690416
37,,40,-15.038829278094202
38,,40,-15.687485416470356
39,,40,-16.35890326609616
40,,40,-19.366980028516743
41,,40,-14.99108015305018
42,,40,-16.250562037340757
43,,40,-16.02200331668798
44,,40,-15.089186166243444
45,,40,-16.020816654064134
46,,40,-14.125789256083214
47,,40,-16.62211492918668
48,,60,-15.630979648744077
49,,60,-16.568999870691623
50,,60,-16.027719422738347
51,,60,-15.316902642298786
52,,60,-15.669417302372562
53,,60,-15.710886602245814
54,,60,-15.317014326098764
55,,60,-16.278417436512015
56,,60,-15.447854346996653
57,,60,-15.421728725249707
58,,60,-15.328871298359301
59,,60,-15.858587382482405
60,,60,-15.52428290926586
61,,60,-15.980443326553559
62,,60,-15.680805743250653
63,,60,-16.41221577994118
64,,80,-15.865098520228685
65,,80,-15.880032498729783
66,,80,-15.702061697641014
67,,80,-16.065479669792254
68,,80,-16.40595901477195
69,,80,-15.634688376109326
70,,80,-16.123708686284594
71,,80,-15.981618371963489
72,,80,-14.475122779616452
73,,80,-16.19159759551182
74,,80,-16.09183249484328
75,,80,-15.25518499213068
76,,80,-15.383123699606694
77,,80,-15.514515682892068
78,,80,-15.709599703637073
79,,80,-16.267116119847113
