,AllScores,AllAiScores,AllScores_flat
0,"[-16.69857881532066, -15.559907143321164, -15.472867677308983, -15.82281302243782, -14.13842228770146, -15.753328235037351, -16.024176236620217, -16.299060220128545, -14.62427909693902, -15.645389579058783, -15.975450808907686, -15.339175712568583, -14.276092652156056, -14.273852674705978, -15.00554999461516, -15.949001316813227]",0,-16.69857881532066
1,"[-14.922572374387464, -16.153365078538595, -15.598196695861702, -15.859961113847802, -16.251198906925104, -15.31554038854328, -14.33410722164379, -14.326615620797963, -15.309870582814014, -14.710889252086128, -15.254567262589827, -16.17478351235728, -15.41159622380368, -15.233481180193746, -15.366091589771617, -14.156356758899259]",0,-15.559907143321164
2,"[-15.44446538960711, -15.670801535154075, -15.94806364371458, -14.67540588255234, -14.081142603629699, -15.321906114516093, -14.85498222301219, -16.00700985115909, -15.78191375736632, -15.28462655655532, -15.828957726105445, -14.328779544232045, -14.856714616127086, -15.520286447291962, -15.598909556274112, -14.27626166181584]",0,-15.472867677308983
3,"[-16.58535470872352, -14.289979988834922, -16.02514947717318, -16.00282945755156, -14.567793485305906, -14.55770070172986, -14.784680268596631, -15.55887241356395, -15.75535213570763, -15.60920612486155, -15.858889803410463, -14.530922856161684, -14.558055841179513, -15.861636359689616, -16.16349150564793, -15.601181743011821]",0,-15.82281302243782
4,"[-14.284310301045185, -14.690813758410041, -12.433394762988087, -15.960318253464207, -14.659978684891744, -14.664097711423164, -16.15384169981547, -14.9374715998823, -15.926756585702735, -15.965284381590198, -15.226317697416917, -14.449094638166585, -14.810360512306705, -16.339728053459506, -15.491821911081647, -16.30242861897026]",0,-14.13842228770146
5,,0,-15.753328235037351
6,,0,-16.024176236620217
7,,0,-16.299060220128545
8,,0,-14.62427909693902
9,,0,-15.645389579058783
10,,0,-15.975450808907686
11,,0,-15.339175712568583
12,,0,-14.276092652156056
13,,0,-14.273852674705978
14,,0,-15.00554999461516
15,,0,-15.949001316813227
16,,20,-14.922572374387464
17,,20,-16.153365078538595
18,,20,-15.598196695861702
19,,20,-15.859961113847802
20,,20,-16.251198906925104
21,,20,-15.31554038854328
22,,20,-14.33410722164379
23,,20,-14.326615620797963
24,,20,-15.309870582814014
25,,20,-14.710889252086128
26,,20,-15.254567262589827
27,,20,-16.17478351235728
28,,20,-15.41159622380368
29,,20,-15.233481180193746
30,,20,-15.366091589771617
31,,20,-14.156356758899259
32,,40,-15.44446538960711
33,,40,-15.670801535154075
34,,40,-15.94806364371458
35,,40,-14.67540588255234
36,,40,-14.081142603629699
37,,40,-15.321906114516093
38,,40,-14.85498222301219
39,,40,-16.00700985115909
40,,40,-15.78191375736632
41,,40,-15.28462655655532
42,,40,-15.828957726105445
43,,40,-14.328779544232045
44,,40,-14.856714616127086
45,,40,-15.520286447291962
46,,40,-15.598909556274112
47,,40,-14.27626166181584
48,,60,-16.58535470872352
49,,60,-14.289979988834922
50,,60,-16.02514947717318
51,,60,-16.00282945755156
52,,60,-14.567793485305906
53,,60,-14.55770070172986
54,,60,-14.784680268596631
55,,60,-15.55887241356395
56,,60,-15.75535213570763
57,,60,-15.60920612486155
58,,60,-15.858889803410463
59,,60,-14.530922856161684
60,,60,-14.558055841179513
61,,60,-15.861636359689616
62,,60,-16.16349150564793
63,,60,-15.601181743011821
64,,80,-14.284310301045185
65,,80,-14.690813758410041
66,,80,-12.433394762988087
67,,80,-15.960318253464207
68,,80,-14.659978684891744
69,,80,-14.664097711423164
70,,80,-16.15384169981547
71,,80,-14.9374715998823
72,,80,-15.926756585702735
73,,80,-15.965284381590198
74,,80,-15.226317697416917
75,,80,-14.449094638166585
76,,80,-14.810360512306705
77,,80,-16.339728053459506
78,,80,-15.491821911081647
79,,80,-16.30242861897026
